algo_id,mint,symbol,name,entry_timestamp,entry_price_usd,exit_timestamp,exit_price_usd,pnl_percent,pnl_usd,exit_reason,high_water_mark_price,high_water_mark_percent,trade_duration_hours,candles_in_trade,score_at_entry,liquidity_at_entry,momentum_1h_at_entry,vol_liq_ratio_at_entry
"genetic_best","3g3YFfUZLspiKpVmv9mDkaDcKh168CLArcqShR64pump","hopecoin","hopecoin",1771006200,0.00011818474281072832,1771007400,0.00009990527114421435,-16.2927,-1.6293,"sl_hit",0.00015100964790553284,27.7742,0.33,4,47,21873.0796,-1.652,13.93
"genetic_best","8ucgWfoG9UDTZttgzKP99f4pLtZyczDan2GDHiG7pump","Cat","Catcoin",1771008300,0.00004819945741513234,1771008900,0.00008388576331673953,72.9898,7.299,"tp_hit",0.00008537758371120955,77.1339,0.17,2,67,21017.75,-22.85,9.395
"genetic_best","8ucgWfoG9UDTZttgzKP99f4pLtZyczDan2GDHiG7pump","Cat","Catcoin",1771013100,0.00011361670593615246,1771014900,0.00009604376625197841,-16.2927,-1.6293,"sl_hit",0.00012797118132582257,12.6341,0.5,6,67,21017.75,-22.85,9.395
"genetic_best","3g3YFfUZLspiKpVmv9mDkaDcKh168CLArcqShR64pump","hopecoin","hopecoin",1771014000,0.00011770048742969859,1771017900,0.00009949591487711732,-16.2927,-1.6293,"sl_hit",0.0001299334145103923,10.3933,1.08,13,47,21873.0796,-1.652,13.93
"genetic_best","AhU5zEZLieEpP3bhvsjmWqWJScX7pDsFs6XPc9FGbonk","LinhMai","Linh Mai",1771017300,0.00015951967409254654,1771018200,0.00013484698544020425,-16.2927,-1.6293,"sl_hit",0.0001778402066140306,11.4848,0.25,3,73,57059.38,6.89,5.114
"genetic_best","BeFtLwLtS9Rva12KrHKRMY1H5WoeM1Y2ULMnNJKopump","BINDER","BINDER",1771018200,0.0014299214598981454,1771030800,0.0012087574738377065,-16.2927,-1.6293,"sl_hit",0.0019088005540570073,33.4899,3.5,42,62,178690.4236,-2.272,3.478
"genetic_best","8ucgWfoG9UDTZttgzKP99f4pLtZyczDan2GDHiG7pump","Cat","Catcoin",1771019700,0.00018537164846080167,1771020300,0.00015670047047938612,-16.2927,-1.6293,"sl_hit",0.00020424491469694004,10.1813,0.17,2,67,21017.75,-22.85,9.395
"genetic_best","Dno6qcgAPnJBQ6sZAETyrAhquRBU2QuHVuSYiMNHpump","Cloud","Pippin's Dream",1771020600,0.000002157975611069214,1771036800,0.0000021149789101694197,-2.8519,-0.2852,"expired",0.000002157975611069214,0,4.5,15,42,4408.83,3.36,1.129
"genetic_best","AhU5zEZLieEpP3bhvsjmWqWJScX7pDsFs6XPc9FGbonk","LinhMai","Linh Mai",1771023000,0.0004145198907716382,1771024200,0.0003504066692308388,-16.2927,-1.6293,"sl_hit",0.00048748739069403766,17.6029,0.33,4,73,57059.38,6.89,5.114
"genetic_best","GPTfQizjVNQfjKiPzqXswetu5QXoFdTrtEahfWtEpump","underclass","escape the permanent underclass",1771025700,0.00011073349606608663,1771026300,0.00009360649848810211,-16.2927,-1.6293,"sl_hit",0.00014197003149405029,28.2088,0.17,2,62,30997.27,28.52,9.545
