algo_id,mint,symbol,name,entry_timestamp,entry_price_usd,exit_timestamp,exit_price_usd,pnl_percent,pnl_usd,exit_reason,dual_trigger_bar,high_water_mark_price,high_water_mark_percent,trade_duration_hours,candles_in_trade,score_at_entry,liquidity_at_entry,momentum_1h_at_entry,vol_liq_ratio_at_entry
"micro_cap_surge","2GStV8bDvvkNF3mSErWmbVdyYJnsyB9PBMHS8Tcm6GwJ","VALENTINE","Valentine's Day",1771054800,0.00006442071935694493,1771056000,0.0000768802662670523,18.4283,1.8428,"tp_hit",false,0.00008321108986707227,29.1682,0.33,4,64,234512.7508,0,34.971
"micro_cap_surge","EjogEgoNXvCboCiAJewbtMaAug2JoVBCRvMSJDVqb9z4","ValTroll","Valentine Troll",1771055400,0.00005073724514802092,1771056000,0.0000605502849948545,18.4283,1.8428,"tp_hit",false,0.00006429716428464944,26.7258,0.17,2,58,87797.5671,0,92.533
"micro_cap_surge","5sR3Mq69Jrko7HbGemCuJWwuQg6qhbgwRdeTDwLq4ui2","FURGY","Furgy",1771056600,0.0002595416293758359,1771057500,0.00030973931637178696,18.4283,1.8428,"tp_hit",false,0.00034189303435418797,31.7296,0.25,3,58,99678.4694,0,140.632
"micro_cap_surge","J3dtrFdvdX1ewy7y1koFSF9aVby3zC8CMgARUXMgAspB","$SHIKSA&amp;","SOLANA ALPHA WHALES @@3",1771057800,0.00005760005327186264,1771058400,0.00006874042197512033,18.4283,1.8428,"tp_hit",false,0.00007012919840662233,21.752,0.17,2,61,143601.274,0,48.584
"micro_cap_surge","GZKQqy8KZkNiditMQEpeiHJewXzNqgfU9AxC2vNRN8zH","VALENTINES","100M MCAP BEFORE VALENTINES",1771059300,0.000044230354082816177,1771060800,0.00005278490263561957,18.4283,1.8428,"tp_hit",false,0.00005499372774882555,24.3348,0.42,5,61,112635.9779,0,47.519
"micro_cap_surge","EjogEgoNXvCboCiAJewbtMaAug2JoVBCRvMSJDVqb9z4","ValTroll","Valentine Troll",1771061400,0.0001146247952811106,1771062000,0.00013679426231163493,18.4283,1.8428,"tp_hit",false,0.00014335359504600282,25.0633,0.17,2,58,87797.5671,0,92.533
"micro_cap_surge","4ABZXWi7BGXNeJd9CMU1abvHYmtVKNgV5DtpW6JLNSEc","NVIDIA","Nvidia Official ✅",1771065000,0.0001175392159485808,1771065600,0.00014027235816597988,18.4283,1.8428,"tp_hit",false,0.00015444724508864935,31.4006,0.17,2,61,131891.0375,0,81.013
"micro_cap_surge","6RLKHhdsTwWqz7kRkdigL4488sNYJAYJR3589zjLpump","3301","1231507051321",1771065900,0.0000355901741745441,1771066200,0.0000424736341714685,18.4283,1.8428,"tp_hit",false,0.00004383877194653624,23.1766,0.08,1,56,36436.5345,1.834,14.296
"micro_cap_surge","BPvZgecbTDimrBUPWfFAiUujr6YFRExpfCHdSSun35Ht","FURGY","Furgy",1771068300,0.00006143044885513419,1771068600,0.00005498373790331763,-11.3325,-1.1333,"sl_hit",false,0.00006793009290079671,10.5805,0.08,1,59,92170.1653,0,146.584
"micro_cap_surge","G8fSP7xigLVxA5qyFiTQg7cs6jPsqYDWwqzJVJ6ppump","Maman","ママン",1771069200,0.00007473435562556443,1771069500,0.00006689148945956192,-11.3325,-1.1333,"sl_hit",false,0.00008180893627966788,9.4663,0.08,1,72,47005.53,19.53,34.017
