algo_id,mint,symbol,name,entry_timestamp,entry_price_usd,exit_timestamp,exit_price_usd,pnl_percent,pnl_usd,exit_reason,dual_trigger_bar,high_water_mark_price,high_water_mark_percent,trade_duration_hours,candles_in_trade,score_at_entry,liquidity_at_entry,momentum_1h_at_entry,vol_liq_ratio_at_entry
"bags_value","8kivrta8Bpk6mHkSZDjFSKtZAn3RQbckiRxff7cTBAGS","VALLEY","agentvalley.tech",1770927300,0.000026761638037701923,1770927600,0.000029276114714857834,8.508,0.8508,"tp_hit",false,0.0000297655910053448,11.2248,0.08,1,68,0,-5.18,0
"bags_value","8kivrta8Bpk6mHkSZDjFSKtZAn3RQbckiRxff7cTBAGS","VALLEY","agentvalley.tech",1770931800,0.000014083374620054831,1770932100,0.000013305720600706471,-6.3724,-0.6372,"sl_hit",false,0.000014083374620054831,0,0.08,1,68,0,-5.18,0
"bags_value","8kivrta8Bpk6mHkSZDjFSKtZAn3RQbckiRxff7cTBAGS","VALLEY","agentvalley.tech",1770938100,0.000008085257639735919,1770939000,0.000008844934298364635,8.508,0.8508,"tp_hit",false,0.000008898768324693097,10.0617,0.25,2,68,0,-5.18,0
"bags_value","8kivrta8Bpk6mHkSZDjFSKtZAn3RQbckiRxff7cTBAGS","VALLEY","agentvalley.tech",1770942900,0.000006814189402342515,1770943200,0.0000064379243436976414,-6.3724,-0.6372,"sl_hit",false,0.000006814189402342515,0,0.08,1,68,0,-5.18,0
"bags_value","8kivrta8Bpk6mHkSZDjFSKtZAn3RQbckiRxff7cTBAGS","VALLEY","agentvalley.tech",1770955500,0.000007307320360366138,1770956400,0.00000799390339361551,8.508,0.8508,"tp_hit",false,0.000008138996010562244,11.3814,0.25,2,68,0,-5.18,0
"bags_value","FC5fiewtGDB7q4kspTaBaKvBuy9Bywqh3FawEPMBAGS","CERTIFY","Cert Games",1770974700,0.000008116653601994308,1770975000,0.000007668469237981086,-6.3724,-0.6372,"sl_hit",false,0.000008116653601994308,0,0.08,1,75,0,-10.99,0
"bags_value","FC5fiewtGDB7q4kspTaBaKvBuy9Bywqh3FawEPMBAGS","CERTIFY","Cert Games",1770978600,0.000007877715837722903,1770979800,0.00000744272510931,-6.3724,-0.6372,"sl_hit",false,0.000008049049063328897,2.1749,0.33,4,75,0,-10.99,0
"bags_value","8kivrta8Bpk6mHkSZDjFSKtZAn3RQbckiRxff7cTBAGS","VALLEY","agentvalley.tech",1770981300,0.0000125896609338474,1770984300,0.000011894486610109832,-6.3724,-0.6372,"sl_hit",false,0.000013328835400510726,5.8713,0.83,5,68,0,-5.18,0
"bags_value","FC5fiewtGDB7q4kspTaBaKvBuy9Bywqh3FawEPMBAGS","CERTIFY","Cert Games",1770984900,0.000006973795081985746,1770987000,0.000006588716936873042,-6.3724,-0.6372,"sl_hit",false,0.000007027860347918488,0.7753,0.58,5,75,0,-10.99,0
"bags_value","FC5fiewtGDB7q4kspTaBaKvBuy9Bywqh3FawEPMBAGS","CERTIFY","Cert Games",1770993900,0.000011421247512640522,1770994200,0.000012494367941745078,8.508,0.8508,"tp_hit",false,0.000014187174255265304,24.2174,0.08,1,75,0,-10.99,0
"bags_value","8kivrta8Bpk6mHkSZDjFSKtZAn3RQbckiRxff7cTBAGS","VALLEY","agentvalley.tech",1770996300,0.00001509237245512649,1770999000,0.00001651042535935838,8.508,0.8508,"tp_hit",false,0.00001678499079917989,11.2151,0.75,7,68,0,-5.18,0
"bags_value","FC5fiewtGDB7q4kspTaBaKvBuy9Bywqh3FawEPMBAGS","CERTIFY","Cert Games",1771002000,0.000008563612536515544,1771002300,0.000009368234584124607,8.508,0.8508,"tp_hit",false,0.000009598019708545892,12.0791,0.08,1,75,0,-10.99,0
"bags_value","8kivrta8Bpk6mHkSZDjFSKtZAn3RQbckiRxff7cTBAGS","VALLEY","agentvalley.tech",1771003500,0.000012836292886572394,1771005000,0.00001212750007049825,-6.3724,-0.6372,"sl_hit",false,0.000012934181043016794,0.7626,0.42,3,68,0,-5.18,0
"bags_value","FC5fiewtGDB7q4kspTaBaKvBuy9Bywqh3FawEPMBAGS","CERTIFY","Cert Games",1771008300,0.000008512732971303348,1771008900,0.000009312574464004313,8.508,0.8508,"tp_hit",false,0.000010090634304904892,18.5358,0.17,2,75,0,-10.99,0
"bags_value","8kivrta8Bpk6mHkSZDjFSKtZAn3RQbckiRxff7cTBAGS","VALLEY","agentvalley.tech",1771010100,0.000011274216108802095,1771013400,0.000010651677852983275,-6.3724,-0.6372,"sl_hit",false,0.000011703507523207886,3.8077,0.92,9,68,0,-5.18,0
"bags_value","FC5fiewtGDB7q4kspTaBaKvBuy9Bywqh3FawEPMBAGS","CERTIFY","Cert Games",1771012500,0.000008752102852470944,1771014300,0.00000826883033117606,-6.3724,-0.6372,"sl_hit",false,0.00000905578479320006,3.4698,0.5,5,75,0,-10.99,0
"bags_value","FC5fiewtGDB7q4kspTaBaKvBuy9Bywqh3FawEPMBAGS","CERTIFY","Cert Games",1771025100,0.000007100750912064868,1771029600,0.000007767925041448387,8.508,0.8508,"tp_hit",false,0.000008341855929142567,17.4785,1.25,10,75,0,-10.99,0
