mint,symbol,name,pool_address,creation_timestamp,liquidity_usd,volume_24h_usd,price_change_1h,price_usd,buy_txn_count_24h,sell_txn_count_24h,holder_count,has_twitter,has_website,has_telegram,source
"2iutGoKbGDVtpQyGyFpcBxB2JW8GLE9x3rnSkQp7m9QG","MOGGED","Mogged By Clav","D5LGrGotGych8RWrq8oVRKwsGutY2buAfL9WEiE41DBg",1771143585,59603.291,132176.041843642,18.755,0.00004065972965489645,152,99,0,false,false,false,"geckoterminal"
"DVePsQPCVwxDHjfeWw8dBtZnJV7T1UUivEE1iVJEpump","NChud","Nigga Chud","FuqdP2mcBqXtrwwtCxLXyZnrXNST4Vp23DE7bqf6v2XF",1771143584,2111.7067,557.6162184229,-26.848,0.000002665888985410485,1,8,0,false,false,false,"geckoterminal"
"9gmvgppApWrX3eReNqYA4C9dj8rxU85WCH8bxCGBpump","SIU","Siuuuuu cr7","772Kh9Htu4q1txiB7uDVKe4RaUjw181wDKHZsb7k8jZL",1771143583,482.5218,649.1588181442,-75.856,6.150046698723169e-7,28,28,0,false,false,false,"geckoterminal"
"jQy9kyvH3XwHVCCoaaSiePpJiD1x9WiD6Ab9pZkpump","wifjuice","wifhat wifjuice","CboN9AbJtod6TSiVL3TSMzFXvef8f39o26ygoB31c1YB",1771143575,2018.9615,482.1349371338,-26.464,0.0000025475320810236673,1,7,0,false,false,false,"geckoterminal"
"Cy2fZzqcBBakmcjQByFrKiXYUs4eAdJRHGp2Fcbkpump","2TheMoon","去月球 📈🚀","33WKUDd4cctnpZeL5GTf85QHb42TCsbbb1LabWxqizdH",1771143575,2266.6998,91.0688721612,8.646,0.0000028718220005520935,3,2,0,false,false,false,"geckoterminal"
"GCrtHWR9XabqCkWFexW32dk6fZLKyS5z2MVpbF6Spump","SLEEP","the bois sleep","EqnniXRz3GdcRRNKrd6TGLfJVWAyrUR8dpotXveE29pq",1771143575,1340.4835,762.598631295,-28.665,0.0000018143947020199745,30,26,0,false,false,false,"geckoterminal"
"9ZaNMHpJYqXH1PbLn1pKDbRfAFGoZLefGBEDzGBBi9YY","BANKR","Bankr on Sol","5GXhC8KpzHp21yLZS56ZqLpergsQdgUxjzY7Y6wziGAy",1771143575,32168.1585,11839.4331726528,301.461,0.00006152227984673205,24,3,0,false,false,false,"geckoterminal"
"6ScJXq3cKEy1owePmhHA5ieGL9K3zUjiMoyCYRj7pump","FreeTory","Free Tory Lanez","ompMcjFRcASuRCrFtokGxA6va5o7JKjzrnsF9D9cWeU",1771143571,0.4453,252.7785098607,-100,8.958215925339697e-10,39,32,0,false,false,false,"geckoterminal"
"6worTXM7bUa1ayhcPQ3JSHvW5uaBkL4vDDia5zNJpump","LOX","Launch On X","9htkfrusnAj4vrERRBTsD8qTBeAiDvAUMG5MWUnfnSYy",1771143569,4407.3391,25499.4864498778,61.924,0.000007493762439840335,305,328,0,false,false,false,"geckoterminal"
"6KkkAVBT2nMugSaetJ3Fj8u5uzjRrmgQvkvvr1gepump","DONT","Don’t Tap","3QvZQtSpq6FaGNMLMse5tFufbtaeQXbrKXH591yLJRVB",1771143564,2018.0695,383.0114365977,-4.482,0.000002545295063610729,3,6,0,false,false,false,"geckoterminal"
"8E2ac5TcQoFxuafvq1cuDrCCAZrAbPt7cy7Sh5bmpump","wifjuice","wifhat wifjuice","9wtuJie4mfFt4iZVk7QDzfTf6wizMikWvUrFeAWotY2B",1771143563,2019.6508,651.581052308,-14.62,0.0000025480143603205816,5,12,0,false,false,false,"geckoterminal"
"FcCH2oNB2bUztjGtDGGxLJAsSdMtmQyeBq1TJa8i2nNS","Poopoo","Poopoocoin","A6s8XyBZ7X4vpt8uhVrKrZSPpUfBoBWCzPMWbLx3zEYy",1771143549,35100.0289,13611.7426254655,378.432,0.00006970492934725494,35,2,0,false,false,false,"geckoterminal"
"gZ4jyGrmGVmXRjow5kHpMuJtPkP42khaw65prdfpump","JJJJ","JJJJ","9UdGTXdKdAsTF56oF67e7KtC2648LSQpicUM8F3FawQ1",1771143548,2049.6474,164.5168547283,1.742,0.0000025860712280838532,2,3,0,false,false,false,"geckoterminal"
"4UnmygwzykfepuApBzJnuZ4zqFt5eLi1n3B9YNDppump","bomba","BOMBASTIC","8Foo466NBTro4kGDqcUD4DCnjGzFEQ4G2qG6yCSZeXRh",1771143528,3774.5654,356.9445294074,91.661,0.000004876770220037226,8,5,0,false,false,false,"geckoterminal"
"AwY2cNukoWwKWfpEveXadgCztxameo1cCugBQbBrpump","bitcoinZ","bitcoinZ","TZ7gehyPJ8K6ixwr5DsYFvqdXQnoEF4vyw9FuQvzMTD",1771143528,2020.8503,17.9444363553,-0.026,0.000002547925950888943,1,1,0,false,false,false,"geckoterminal"
"EGt4wA73taeN1rChEF71TqBfKmQsh1S2EnqGtT79pump","Pim","Pim Neill","8gbP1UouWhk9ne8QurPqw59pjVBhjf5mXp5VtYK3PPfi",1771143527,3443.4218,7128.1825777145,121.065,0.0006637870067885495,176,238,0,false,false,false,"geckoterminal"
"EPnxViNgvYve9avSbYoMvFFv8qTXXdeUmgJNxnjpump","Gilgamesh","Gilgamesh","F5yJkY1mdGhVh1HX97KomggU64TFaMYzaKmbPvFjWurd",1771143521,3335.3499,1704.5602562849,46.643,0.0005245407180075067,179,189,0,false,false,false,"geckoterminal"
"HUfzrJAUPXuUKrr2ZUMuRcEuZEBtysfDr7BvTDhUpump","Dogpipcron","Unicron Pippin Dog","GQtJeQuysvYGJJmc61XTUrPq1KUn5xkGJ6AYMk9JuvUu",1771143512,2057.7403,717.5850561133,2.548,0.0000026215929726354407,8,7,0,false,false,false,"geckoterminal"
