algo_id,mint,symbol,name,entry_timestamp,entry_price_usd,exit_timestamp,exit_price_usd,pnl_percent,pnl_usd,exit_reason,dual_trigger_bar,high_water_mark_price,high_water_mark_percent,trade_duration_hours,candles_in_trade,score_at_entry,liquidity_at_entry,momentum_1h_at_entry,vol_liq_ratio_at_entry
"index_intraday","Xs8S1uUs1zvS2p7iwtsG3b6fkhpvmwz4GYU3gWAmWHZ","QQQx","Nasdaq xStock",1756684800,573.8257889723313,1759363200,605.5432334867937,4.6492,0.4649,"expired",false,612.8630038427755,6.803,744,31,50,599359.19,0,0.239
"index_leveraged","Xs8S1uUs1zvS2p7iwtsG3b6fkhpvmwz4GYU3gWAmWHZ","QQQx","Nasdaq xStock",1756684800,573.8257889723313,1759363200,605.5432334867937,4.6492,0.4649,"expired",false,612.8630038427755,6.803,744,31,50,599359.19,0,0.239
"index_intraday","Xs8S1uUs1zvS2p7iwtsG3b6fkhpvmwz4GYU3gWAmWHZ","QQQx","Nasdaq xStock",1759622400,606.8747508902429,1760054400,567.3290018417196,-7.3644,-0.7364,"sl_hit",false,615.801214990083,1.4709,120,5,50,599359.19,0,0.239
"index_leveraged","Xs8S1uUs1zvS2p7iwtsG3b6fkhpvmwz4GYU3gWAmWHZ","QQQx","Nasdaq xStock",1759622400,606.8747508902429,1760054400,567.3290018417196,-7.3644,-0.7364,"sl_hit",false,615.801214990083,1.4709,120,5,50,599359.19,0,0.239
"index_intraday","Xs8S1uUs1zvS2p7iwtsG3b6fkhpvmwz4GYU3gWAmWHZ","QQQx","Nasdaq xStock",1760140800,603.0552481520225,1761609600,719.6915606418571,18.4283,1.8428,"tp_hit",false,771.6313621269013,27.9537,408,17,50,599359.19,0,0.239
"index_intraday","XsoCS1TfEyfFhfvj8EtZ528L3CaKBDBRqRapnBbDF2W","SPYx","SP500 xStock",1760140800,666.5999622738053,1762819200,677.1936686892632,0.7209,0.0721,"expired",false,694.9644618691539,4.2551,744,31,50,72183.55,0.01,0.162
"index_leveraged","Xs8S1uUs1zvS2p7iwtsG3b6fkhpvmwz4GYU3gWAmWHZ","QQQx","Nasdaq xStock",1760140800,603.0552481520225,1761609600,719.6915606418571,18.4283,1.8428,"tp_hit",false,771.6313621269013,27.9537,408,17,50,599359.19,0,0.239
"index_leveraged","XsoCS1TfEyfFhfvj8EtZ528L3CaKBDBRqRapnBbDF2W","SPYx","SP500 xStock",1760140800,666.5999622738053,1762819200,677.1936686892632,0.7209,0.0721,"expired",false,694.9644618691539,4.2551,744,31,50,72183.55,0.01,0.162
"index_intraday","Xs8S1uUs1zvS2p7iwtsG3b6fkhpvmwz4GYU3gWAmWHZ","QQQx","Nasdaq xStock",1762300800,632.7230100990024,1763078400,591.4929122280715,-7.3644,-0.7364,"sl_hit",false,642.5967066321316,1.5605,216,9,50,599359.19,0,0.239
"index_leveraged","Xs8S1uUs1zvS2p7iwtsG3b6fkhpvmwz4GYU3gWAmWHZ","QQQx","Nasdaq xStock",1762300800,632.7230100990024,1763078400,591.4929122280715,-7.3644,-0.7364,"sl_hit",false,642.5967066321316,1.5605,216,9,50,599359.19,0,0.239
