algo_id,mint,symbol,name,entry_timestamp,entry_price_usd,exit_timestamp,exit_price_usd,pnl_percent,pnl_usd,exit_reason,dual_trigger_bar,high_water_mark_price,high_water_mark_percent,trade_duration_hours,candles_in_trade,score_at_entry,liquidity_at_entry,momentum_1h_at_entry,vol_liq_ratio_at_entry
"elite","AhU5zEZLieEpP3bhvsjmWqWJScX7pDsFs6XPc9FGbonk","LinhMai","Linh Mai",1771012800,0.00006483242772436826,1771013100,0.00005802870205358295,-11.3325,-1.1333,"sl_hit",true,0.00009222502906883434,42.2514,0.08,1,73,57059.38,6.89,5.114
"elite","AhU5zEZLieEpP3bhvsjmWqWJScX7pDsFs6XPc9FGbonk","LinhMai","Linh Mai",1771017300,0.00015951967409254654,1771017600,0.0001427791610543339,-11.3325,-1.1333,"sl_hit",false,0.00015951967409254654,0,0.08,1,73,57059.38,6.89,5.114
"elite","BeFtLwLtS9Rva12KrHKRMY1H5WoeM1Y2ULMnNJKopump","BINDER","BINDER",1771018200,0.0014299214598981454,1771018800,0.0017064811395355857,18.4283,1.8428,"tp_hit",false,0.0017947621560933983,25.5147,0.17,2,78,178690.4236,-2.272,3.478
"elite","BeFtLwLtS9Rva12KrHKRMY1H5WoeM1Y2ULMnNJKopump","BINDER","BINDER",1771026900,0.0014983030282618083,1771027800,0.0013410662389911725,-11.3325,-1.1333,"sl_hit",false,0.0014983030282618083,0,0.25,3,78,178690.4236,-2.272,3.478
"elite","AhU5zEZLieEpP3bhvsjmWqWJScX7pDsFs6XPc9FGbonk","LinhMai","Linh Mai",1771030800,0.0003097487872584041,1771031100,0.0002772427428399486,-11.3325,-1.1333,"sl_hit",false,0.00031343810589279386,1.1911,0.08,1,73,57059.38,6.89,5.114
"elite","BeFtLwLtS9Rva12KrHKRMY1H5WoeM1Y2ULMnNJKopump","BINDER","BINDER",1771032300,0.0012960063410217021,1771041300,0.0015466656314323684,18.4283,1.8428,"tp_hit",false,0.0016072901705599398,24.0187,2.5,28,78,178690.4236,-2.272,3.478
"elite","9QYybdHqCWB53h3bpJ6DY2ojgXavQKKe2yZR66xzDAKh","CASH","Cash City",1771035300,0.015864446980352685,1771049400,0.01893277380637572,18.4283,1.8428,"tp_hit",false,0.019504288691875475,22.9434,3.92,47,63,375833.7349,0.087,0.516
"elite","9X8VSUD8yhYbHtR3KdKeCvnb7TNfgTKMFufgpCympump","right","we're curing cancer, right?",1771041000,0.00007704104141384101,1771041300,0.00006895610414448795,-11.3325,-1.1333,"sl_hit",true,0.00012695612838858197,64.7903,0.08,1,66,53341.8422,-19.242,42.596
"elite","AhU5zEZLieEpP3bhvsjmWqWJScX7pDsFs6XPc9FGbonk","LinhMai","Linh Mai",1771043100,0.00036855929320976345,1771043400,0.00043984197755017065,18.4283,1.8428,"tp_hit",false,0.00047163694941735934,27.9677,0.08,1,73,57059.38,6.89,5.114
"elite","9X8VSUD8yhYbHtR3KdKeCvnb7TNfgTKMFufgpCympump","right","we're curing cancer, right?",1771046400,0.00014847368255976678,1771046700,0.0001771898290299687,18.4283,1.8428,"tp_hit",false,0.0001815625894181841,22.286,0.08,1,66,53341.8422,-19.242,42.596
