algo_id,mint,symbol,name,entry_timestamp,entry_price_usd,exit_timestamp,exit_price_usd,pnl_percent,pnl_usd,exit_reason,high_water_mark_price,high_water_mark_percent,trade_duration_hours,candles_in_trade,score_at_entry,liquidity_at_entry,momentum_1h_at_entry,vol_liq_ratio_at_entry
"insight_j","3wshHmD3aBx3wfHPeGWq2o38BNpVaEf7iFf3gYgRpump","ME","In a world full of",1770660000,0.000008028740884007085,1770660600,0.000012775428839522684,58.1094,5.8109,"tp_hit",0.000013616947870729194,69.6025,0.17,2,54,46187.878,-13.366,25.77
"insight_j","3wshHmD3aBx3wfHPeGWq2o38BNpVaEf7iFf3gYgRpump","ME","In a world full of",1770673500,0.0000030038345858221326,1770677100,0.000002539235620705579,-16.2927,-1.6293,"sl_hit",0.0000030038345858221326,0,1,7,54,46187.878,-13.366,25.77
"insight_j","D67BSPqECWv8GEozzFT4KCMtT9aFkswK5fC3oeBBbonk","USEFUL","USEFUL COIN",1770675000,0.00035939763772173064,1770675900,0.0005718778339144705,58.1094,5.8109,"tp_hit",0.00100399882189421,179.356,0.25,3,57,83588.4341,0.642,8.538
"insight_j","D67BSPqECWv8GEozzFT4KCMtT9aFkswK5fC3oeBBbonk","USEFUL","USEFUL COIN",1770681600,0.002291879264098593,1770681900,0.0036468657875848506,58.1094,5.8109,"tp_hit",0.004575502238274111,99.6398,0.08,1,57,83588.4341,0.642,8.538
"insight_j","G9YU3K1MiPTv7Krui5omkPBPP21GChPPE3c9izRKbonk","SAFEMOON","SafeMoon",1770687000,0.00010271630454878721,1770687900,0.00008682931495914505,-16.2927,-1.6293,"sl_hit",0.00012031436871310154,17.1327,0.25,3,73,33047.2,5.15,1.664
"insight_j","GbqbsRyBHVPHEv7xLEsikXmdpPPiApLTJesDBbL5pump","GIRAFFES","The Giraffes",1770691800,0.0005937382342972596,1770692100,0.0005019055579885746,-16.2927,-1.6293,"sl_hit",0.0007610300457688712,28.176,0.08,1,55,54976.7986,5.083,3.741
"insight_j","G9YU3K1MiPTv7Krui5omkPBPP21GChPPE3c9izRKbonk","SAFEMOON","SafeMoon",1770692400,0.00038578555010887586,1770692700,0.0006138665967598446,58.1094,5.8109,"tp_hit",0.0006441292608428117,66.9656,0.08,1,73,33047.2,5.15,1.664
"insight_j","D67BSPqECWv8GEozzFT4KCMtT9aFkswK5fC3oeBBbonk","USEFUL","USEFUL COIN",1770692400,0.003206061681658648,1770693000,0.0027101845296913173,-16.2927,-1.6293,"sl_hit",0.0035753369614545637,11.518,0.17,2,57,83588.4341,0.642,8.538
"insight_j","3wshHmD3aBx3wfHPeGWq2o38BNpVaEf7iFf3gYgRpump","ME","In a world full of",1770696000,0.0000031499496408166806,1770702000,0.000005012237667863192,58.1094,5.8109,"tp_hit",0.000005089054950642786,61.5599,1.67,10,54,46187.878,-13.366,25.77
"insight_j","G9YU3K1MiPTv7Krui5omkPBPP21GChPPE3c9izRKbonk","SAFEMOON","SafeMoon",1770698700,0.00047847945894088407,1770699600,0.0004044736989357536,-16.2927,-1.6293,"sl_hit",0.000589740230194512,23.253,0.25,3,73,33047.2,5.15,1.664
